vid,start_time,duration
44FPny8k4DM,0.0,235.93636363636364
9EizWhixKCg,0.0,324.5431818181818
X4UWEifacwI,0.0,221.63181818181818
At63FPRHLAo,0.0,216.3840909090909
9sYVHOsxdEA,0.0,334.5590909090909
1MiyvDB_bzM,0.0,267.3272727272727
Pzf9MQKkoNM,0.0,138.24090909090907
8RblA-E3140,0.0,257.6318181818182
TzbeCt4_LFc,0.0,213.4409090909091
FoOVn7MACAE,0.0,193.08863636363637
72yB-xyIcGI,0.0,222.27272727272725
1E7U1w2Z8C0,0.0,477.6318181818182
9ygrq7in_uI,0.0,204.86363636363635
7SPnwtQkUb4,0.0,222.11136363636362
5W0OTX18wG0,0.0,302.84772727272724
1XfdURNeY6s,0.0,206.3681818181818
8UirJ7SEBm8,0.0,237.4090909090909
PDohhCaNf98,0.0,223.10454545454544
40KRN9rzkpk,0.0,270.7204545454545
-piYS0yc_dI,0.0,329.69545454545454
DeQHA0xP2zk,0.0,202.07954545454544
MhNjhYrEbrc,0.0,184.9272727272727
M3dekVSwNjY,0.0,197.27954545454546
8rcClHLysvU,0.0,153.24772727272727
Eaq914E77oY,0.0,139.48863636363635
XdoR3Mw217M,0.0,211.71136363636361
-6dwiJ-m4K4,0.0,312.67272727272723
1OsOEt5Qpfc,0.0,151.10454545454544
KOt3oARDH9I,0.0,138.72045454545454
30BRN7-KOG4,0.0,216.73636363636362
4TFz7QX5aNg,0.0,264.22499999999997
8YELO9yxs_c,0.0,185.4409090909091
ZeQPNWdFs_4,0.0,187.1681818181818
AAnID4RS7Vg,0.0,242.30454545454543
Y-dpHbPGQWE,0.0,231.67954545454543
YwDABKyGY_g,0.0,89.31136363636364
XTKxjzg1xwM,0.0,185.6
ZANyOBEWiJA,0.0,197.92045454545453
-4nIqLncdB0,0.0,277.12045454545455
