vid,start_time,duration
UKk9DJD1jOo,0.0,146.24090909090907
E6jlrR-M3tk,0.0,150.7840909090909
Dcp8AuzTG-w,0.0,153.9840909090909
7G6QVPCHv6Q,0.0,175.10454545454544
fful4o8CIW8,0.0,89.63181818181818
OnT8HuJuuIA,0.0,103.23181818181817
-DlGdZNAsxA,0.0,191.0090909090909
Oytzh19NE6w,0.0,176.35227272727272
1mCi6eWXVbg,0.0,120.60909090909091
Q-Jkk6mJ8AI,0.0,100.225
Ct-SQmiA31s,0.0,19.904545454545453
yn1NaZWN_qQ,0.0,80.225
t_3Zm1PbydA,0.0,232.35227272727272
qMFYRw0uZ_E,0.0,215.42499999999998
4jGq3kfsJpg,0.0,57.31136363636363
9tiymgwLnKE,0.0,138.68863636363636
2WZsNZrbt6w,0.0,170.625
PohzBumrY2Q,0.0,199.52045454545453
iB17xqmFw3A,0.0,196.0
kCMA0wi7i6Y,0.0,131.39090909090908
YhwsPeOGnGg,0.0,114.59090909090908
CgCMBFcifVE,0.0,176.89545454545453
KC2RgtW4IZ0,0.0,68.41590909090908
c7Jyu_OiEB0,0.0,85.08863636363635
STtGADifdUw,0.0,85.69545454545454
vhVtX8F0-BY,0.0,119.93636363636364
qBnsIqyXheM,0.0,209.825
UYp3dKioAao,0.0,155.87272727272727
7C-udYVfjoY,0.0,127.8090909090909
ZoE25YHTGDQ,0.0,127.48863636363636
cFskXS823Kk,0.0,130.4318181818182
RRjph7N4hvk,0.0,159.2
2gyrqiqTuiM,0.0,207.5840909090909
bq5utI8KK_8,0.0,105.63181818181818
1oz3h9doX_g,0.0,136.09545454545454
0N26WnKiCIg,0.0,132.5431818181818
oOCHF3GgKLs,0.0,176.1590909090909
1LnKd5cuqIc,0.0,152.73636363636362
Y5EwbTgIswk,0.0,200.51136363636363
Z_yNLFYjpsY,0.0,105.6
A2p8VW61RGc,0.0,88.89545454545454
cp_0VICDDSc,0.0,136.64090909090908
nQpXK7PS-oo,0.0,74.84772727272727
